unNeighborClusters	group	medianAbundance	meanAbundance	minimumAbundance	maximumAbundance	IQRAbundance	sdAbundance	nAbundance
3	Other-Cetobacterium	0.19770916334661354	0.19770916334661354	0.18725099601593623	0.20816733067729085	0.010458167330677282	0.01479008207661108	2
3	Other-Cloacibacillus	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	NA	1
3	Other-Fusobacterium	0.0697211155378486	0.08046978751660026	0.00199203187250996	0.20418326693227093	0.08640438247011951	0.06634053859392702	24
3	Other-Other	0.00398406374501992	0.04398196686936465	9.9601593625498e-4	0.2679282868525896	0.05577689243027888	0.07405003428732852	19
3	Other-Unknown	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	0	3
3	Proteobacteria-Bilophila	0.022908366533864542	0.0322875166002656	0.00199203187250996	0.1145418326693227	0.027639442231075693	0.033654724053445606	12
3	Proteobacteria-Enterobacter	0.00647410358565737	0.019351166761525325	9.9601593625498e-4	0.07171314741035857	0.019920318725099598	0.02360470251643814	14
3	Proteobacteria-Escherichia-Shigella	0.0298804780876494	0.05288523326050636	0.00199203187250996	0.2918326693227092	0.03934262948207172	0.06684662338948098	31
3	Proteobacteria-Haemophilus	0.00398406374501992	0.035145133750711446	9.9601593625498e-4	0.11852589641434264	0.05727091633466136	0.04575792419847918	7
3	Proteobacteria-Morganella	0.00647410358565737	0.0099601593625498	9.9601593625498e-4	0.02290836653386454	0.01394422310756972	0.009300890462094622	6
3	Proteobacteria-Other	9.9601593625498e-4	0.009931701764371088	9.9601593625498e-4	0.12649402390438247	0.004482071713147411	0.023488797374344592	35
3	Proteobacteria-Parasutterella	0.04581673306772908	0.06772908366533865	9.9601593625498e-4	0.22211155378486055	0.06772908366533865	0.06640614605373946	17
3	Proteobacteria-Proteus	0.00597609561752988	0.011131942816967425	9.9601593625498e-4	0.05079681274900399	0.009960159362549799	0.013405738537566415	17
3	Proteobacteria-Sutterella	0.09561752988047809	0.09880478087649402	0.02091633466135458	0.21215139442231076	0.09188247011952193	0.061365863067741215	10
3	Proteobacteria-Unknown	0.14342629482071714	0.1331944947482796	9.9601593625498e-4	0.3197211155378486	0.13645418326693226	0.09135770254444008	44
3	Verrucomicrobia-Akkermansia	0.00398406374501992	0.028995130588756086	9.9601593625498e-4	0.12749003984063745	0.010956175298804782	0.050075052707980204	9
4	Actinobacteria-Bifidobacterium	0.0034860557768924302	0.009628154050464806	9.9601593625498e-4	0.04282868525896414	0.0024900398406374506	0.016325751464998997	6
4	Actinobacteria-Collinsella	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	NA	1
4	Actinobacteria-Other	0.0034860557768924302	0.02556440903054449	9.9601593625498e-4	0.25697211155378485	0.006972111553784859	0.07299615572158898	12
4	Actinobacteria-Unknown	0.00199203187250996	0.00199203187250996	9.9601593625498e-4	0.00298804780876494	9.9601593625498e-4	9.9601593625498e-4	3
4	Bacteroidetes-Alistipes	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	NA	1
4	Bacteroidetes-Bacteroides	9.9601593625498e-4	0.04780876494023904	9.9601593625498e-4	0.14143426294820718	0.0702191235059761	0.08108205971686976	3
4	Firmicutes-Blautia	0.005478087649402391	0.00448207171314741	9.9601593625498e-4	0.00597609561752988	0.00199203187250996	0.0023709921741510128	4
4	Firmicutes-Enterococcus	0.6593625498007968	0.48047808764940236	9.9601593625498e-4	0.9870517928286852	0.7452689243027888	0.42069598237182926	10
4	Firmicutes-Erysipelatoclostridium	0.01344621513944223	0.02938247011952191	9.9601593625498e-4	0.12151394422310756	0.01743027888446215	0.045984233918282075	6
4	Firmicutes-Lactobacillus	0.01095617529880478	0.17775053631627338	9.9601593625498e-4	0.9611553784860558	0.3137450199203187	0.2920440946766432	13
4	Firmicutes-Other	0.00199203187250996	0.017928286852589646	9.9601593625498e-4	0.17928286852589642	0.010956175298804782	0.03967966451937522	63
4	Firmicutes-Streptococcus	0.01394422310756972	0.2663959546429666	0.00298804780876494	0.848605577689243	0.5747011952191236	0.34663968914831583	13
4	Firmicutes-Unknown	0.00298804780876494	0.005810092961487384	9.9601593625498e-4	0.04880478087649402	0.00398406374501992	0.011066143898919929	18
4	Firmicutes-Veillonella	0.0149402390438247	0.04880478087649402	9.9601593625498e-4	0.17629482071713148	0.051543824701195215	0.0691097587599428	10
4	Other-Fusobacterium	0.00249003984063745	0.059262948207171304	9.9601593625498e-4	0.23107569721115537	0.05826693227091633	0.11454471963565425	4
4	Other-Other	0.00448207171314741	0.009711155378486054	9.9601593625498e-4	0.02888446215139442	0.010707171314741035	0.013046794968876865	4
4	Proteobacteria-Bilophila	0.00298804780876494	0.00298804780876494	0.00298804780876494	0.00298804780876494	0	NA	1
4	Proteobacteria-Escherichia-Shigella	0.01294820717131474	0.02776394422310757	0.00199203187250996	0.08366533864541832	0.04506972111553784	0.030571767728022503	8
4	Proteobacteria-Haemophilus	0.022908366533864542	0.022908366533864542	0.00199203187250996	0.04382470119521912	0.02091633466135458	0.029580164153222104	2
4	Proteobacteria-Morganella	0.0049800796812749	0.0049800796812749	0.0049800796812749	0.0049800796812749	0	NA	1
4	Proteobacteria-Other	0.00298804780876494	0.021580345285524567	9.9601593625498e-4	0.1145418326693227	0.00448207171314741	0.045593891937004555	6
4	Proteobacteria-Parasutterella	0.03286852589641434	0.03286852589641434	0.03286852589641434	0.03286852589641434	0	NA	1
